name,description,alias,type,has_cli,has_native_addon,has_wasm,related
strided/base/max-view-buffer-index,Return the maximum accessible index based on a set of provided strided array parameters.,base.strided.maxViewBufferIndex,Function,false,false,false,
strided/base/meta-data-props,Define non-enumerable read-only properties which expose strided array function meta data.,base.strided.metaDataProps,Function,false,false,false,
strided/base/min-view-buffer-index,Return the minimum accessible index based on a set of provided strided array parameters.,base.strided.minViewBufferIndex,Function,false,false,false,strided/base/offset-view
strided/base/mskunary-addon-dispatch,Dispatch to a native add-on applying a unary function to an input strided array according to a mask strided array.,,,false,false,false,
strided/base/mskunary-dtype-signatures,Generate a list of masked unary interface signatures from strided array data types.,base.strided.mskunaryDtypeSignatures,Function,false,false,false,strided/base/mskunary-signature-callbacks
strided/base/mskunary-signature-callbacks,Assign callbacks to masked unary interfaces according to type promotion rules.,base.strided.mskunarySignatureCallbacks,Function,false,false,false,strided/base/mskunary-dtype-signatures
strided/base/mskunary,Apply a unary callback to elements in a strided input array according to elements in a strided mask array and assign results to elements in a strided output array.,base.strided.mskunary,Function,false,false,false,strided/base/dmskmap;strided/base/smskmap;strided/base/unary
strided/base/nullary-addon-dispatch,Dispatch to a native add-on applying a nullary function.,,,false,false,false,
strided/base/nullary,Apply a nullary callback and assign results to elements in a strided output array.,base.strided.nullary,Function,false,false,false,strided/base/binary;strided/base/quaternary;strided/base/quinary;strided/base/ternary;strided/base/unary
strided/base/offset-view,Return a typed array view having the same data type as a provided input typed array and starting at a specified index offset.,base.strided.offsetView,Function,false,false,false,strided/base/min-view-buffer-index
strided/base,Base strided.,,,false,false,false,
strided/base/quaternary,Apply a quaternary callback to strided input array elements and assign results to elements in a strided output array.,base.strided.quaternary,Function,false,false,false,strided/base/binary;strided/base/nullary;strided/base/quinary;strided/base/ternary;strided/base/unary
strided/base/quinary,Apply a quinary callback to strided input array elements and assign results to elements in a strided output array.,base.strided.quinary,Function,false,false,false,strided/base/binary;strided/base/nullary;strided/base/quaternary;strided/base/ternary;strided/base/unary
strided/base/read-dataview,Copy elements from an input strided DataView to elements in an output strided array.,,,false,false,false,
strided/base/reinterpret-boolean,Reinterpret a BooleanArray as a Uint8Array.,,,false,false,false,
strided/base/reinterpret-complex,Reinterpret a complex-valued floating-point array as a real-valued floating-point array having the same precision.,base.strided.reinterpretComplex,Function,false,false,false,strided/base/reinterpret-complex128;strided/base/reinterpret-complex64
strided/base/reinterpret-complex128,Reinterpret a Complex128Array as a Float64Array.,base.strided.reinterpretComplex128,Function,false,false,false,strided/base/reinterpret-complex;strided/base/reinterpret-complex64
strided/base/reinterpret-complex64,Reinterpret a Complex64Array as a Float32Array.,base.strided.reinterpretComplex64,Function,false,false,false,strided/base/reinterpret-complex;strided/base/reinterpret-complex128
strided/base/smap,Apply a unary function to a single-precision floating-point strided input array and assign results to a single-precision floating-point strided output array.,base.strided.smap,Function,false,false,false,strided/base/dmap;strided/base/unary
strided/base/smap2,Apply a binary function to single-precision floating-point strided input arrays and assign results to a single-precision floating-point strided output array.,base.strided.smap2,Function,false,false,false,strided/base/dmap2;strided/base/binary
strided/base/smskmap,Apply a unary function to a single-precision floating-point strided input array according to a strided mask array and assign results to a single-precision floating-point strided output array.,base.strided.smskmap,Function,false,false,false,strided/base/dmskmap;strided/base/mskunary;strided/base/smap;strided/base/smskmap2
strided/base/smskmap2,Apply a binary function to single-precision floating-point strided input arrays according to a strided mask array and assign results to a single-precision floating-point strided output array.,base.strided.smskmap2,Function,false,false,false,strided/base/dmskmap2;strided/base/smap2;strided/base/smskmap
strided/base/stride2offset,Determine the index offset which specifies the location of the first indexed value in a strided array.,,,false,false,false,
strided/base/strided2object,"Convert a strided array and associated metadata to an object likely to have the same ""shape"".",,,false,false,false,
strided/base/ternary,Apply a ternary callback to strided input array elements and assign results to elements in a strided output array.,base.strided.ternary,Function,false,false,false,strided/base/binary;strided/base/nullary;strided/base/quaternary;strided/base/quinary;strided/base/unary
strided/base/unary-addon-dispatch,Dispatch to a native add-on applying a unary function to an input strided array.,,,false,false,false,
strided/base/unary-by,Apply a unary function to each element retrieved from a strided input array according to a callback function and assign results to a strided output array.,base.strided.unaryBy,Function,false,false,false,strided/base/map-by;strided/base/unary
strided/base/unary-dtype-signatures,Generate a list of unary interface signatures from strided array data types.,base.strided.unaryDtypeSignatures,Function,false,false,false,strided/base/unary-signature-callbacks
strided/base/unary-signature-callbacks,Assign callbacks to unary interfaces according to type promotion rules.,base.strided.unarySignatureCallbacks,Function,false,false,false,strided/base/unary-dtype-signatures
strided/base/unary,Apply a unary callback to elements in a strided input array and assign results to elements in a strided output array.,base.strided.unary,Function,false,false,false,strided/base/unary;strided/base/dmap;strided/base/nullary;strided/base/quaternary;strided/base/quinary;strided/base/smap;strided/base/ternary
strided/base/write-dataview,Copy elements from an input strided array to elements in a strided DataView.,,,false,false,false,
